Record ID,Company Name,Industry,Carbon Emissions (MT),Water Usage (m^3),Energy Consumption (MWh),Waste Generation (MT),Recycling Rate (%),Supply Chain Sustainability Score,Employee Transportation Mode,Renewable Energy Use (%),Sustainability Training,Community Engagement Score,Sustainability Reporting Frequency,Eco-friendly Product Lines (%),Investment in Sustainability (USD),Third-party Sustainability Certification,Customer Feedback Score on Sustainability,Sustainable Packaging Initiatives,Likelihood of Achieving Sustainability Goals
48.0,Company_48,Automobile,42823.0,81885.0,34785.0,20331.0,22.90511767327624,56.0,Bike,54.80225182404,No,47.0,Bi-annually,54.37577805905762,1466009.0,Yes,97.0,4.0,0.6269009570276146
49.0,Company_49,IT,31238.0,698926.0,21997.0,4474.0,64.33014657812356,93.0,Public Transport,24.92888984098424,No,71.0,Annually,74.33182253755957,2431624.0,Yes,74.0,2.0,0.8488909180664255
50.0,Company_50,Automobile,38425.0,798132.0,29713.0,1042.0,63.2380377320755,91.0,Bike,18.471855792920778,No,83.0,Bi-annually,69.71023390310242,895065.0,No,61.0,3.0,0.0343365818730512
51.0,Company_51,Electronics,29361.0,463171.0,28611.0,19231.0,50.09977849969144,44.0,Public Transport,59.33139115244341,Yes,75.0,Annually,15.537096594918472,1152559.0,No,91.0,4.0,0.7394237092313379
52.0,Company_52,IT,6443.0,810499.0,42668.0,21324.0,54.50667088072719,41.0,Bike,15.097162986673371,Yes,64.0,Bi-annually,43.9021544109619,1144231.0,Yes,95.0,5.0,0.5317295188684307
53.0,Company_53,Electronics,16684.0,917062.0,8677.0,19080.0,28.80488615332656,71.0,Car,63.57151542066686,No,30.0,Bi-annually,67.24331987048174,1517031.0,No,63.0,5.0,0.8217854998882477
54.0,Company_54,Textile,8708.0,112854.0,36663.0,9159.0,61.02816559113023,73.0,Public Transport,50.66817539706973,No,42.0,Quarterly,63.823131414653126,2777719.0,Yes,98.0,3.0,0.7824479104350546
55.0,Company_55,Electronics,5893.0,142895.0,5632.0,8341.0,55.9594834310391,72.0,Bike,38.36768201396163,Yes,99.0,Quarterly,79.87431004065306,280219.0,Yes,62.0,5.0,0.2867694516928718
56.0,Company_56,Automobile,48490.0,651829.0,4681.0,2519.0,69.59421127860904,81.0,Car,75.70893421997954,Yes,64.0,Bi-annually,27.950853293076,2201355.0,Yes,91.0,5.0,0.4089798748391726
57.0,Company_57,Food & Beverages,6011.0,316848.0,38742.0,21177.0,70.19319939361243,70.0,Bike,24.619519661035103,Yes,92.0,Quarterly,37.674902309439375,4526353.0,Yes,57.0,2.0,0.5753025397254048
58.0,Company_58,Food & Beverages,22045.0,543792.0,20566.0,22142.0,46.5002234013165,52.0,Bike,19.759142654968983,Yes,35.0,Bi-annually,15.45254121208236,1346457.0,Yes,98.0,2.0,0.4661807466660539
59.0,Company_59,Automobile,34471.0,131670.0,37440.0,10412.0,46.83969696951642,58.0,Bike,51.12677890660561,Yes,89.0,Bi-annually,10.346782787840972,2453037.0,Yes,86.0,3.0,0.9016173228326844
60.0,Company_60,Pharmaceutical,27367.0,27563.0,36043.0,19998.0,69.64004923258739,55.0,Public Transport,77.50386890451033,No,83.0,Annually,39.52895019363244,318084.0,No,66.0,2.0,0.6268862778347187
61.0,Company_61,IT,27471.0,74099.0,5805.0,13353.0,40.74399121808956,44.0,Public Transport,33.49810979259536,No,63.0,Bi-annually,34.84329521977168,2998064.0,Yes,62.0,1.0,0.985504130095424
62.0,Company_62,Automobile,37504.0,431444.0,31854.0,19417.0,74.40555625022336,45.0,Car,28.003583578349463,No,44.0,Annually,74.64654742482458,583405.0,No,55.0,3.0,0.3364373308033687
63.0,Company_63,Electronics,5451.0,930427.0,34736.0,18971.0,44.69063304428836,96.0,Car,32.5135347001405,Yes,70.0,Annually,29.81856070123996,4769687.0,No,56.0,3.0,0.799729856328251
64.0,Company_64,Automobile,28359.0,11253.0,14135.0,5570.0,76.97635167761945,93.0,Bike,21.773482191495063,No,61.0,Quarterly,12.308706629798332,3323991.0,Yes,79.0,3.0,0.5157883340886521
65.0,Company_65,Automobile,4017.0,558492.0,44643.0,4115.0,75.75359756541576,74.0,Walking,75.77117583498755,Yes,48.0,Annually,22.609734850897976,3198433.0,Yes,86.0,2.0,0.7708907609481549
66.0,Company_66,Electronics,11689.0,226766.0,22023.0,22143.0,32.88738565200285,45.0,Bike,11.45336044079859,Yes,97.0,Quarterly,27.44396405712431,1331734.0,Yes,51.0,1.0,0.2665302961438549
67.0,Company_67,IT,19586.0,919225.0,35505.0,14028.0,41.63502171131347,70.0,Bike,10.11738812878552,Yes,65.0,Quarterly,71.3877517829476,4820885.0,No,67.0,3.0,0.1413490329575895
68.0,Company_68,Pharmaceutical,20300.0,465558.0,13077.0,1481.0,72.9156485904725,54.0,Car,77.78903886264654,Yes,90.0,Annually,72.43264682582512,1610888.0,No,84.0,6.0,0.2895197717674621
69.0,Company_69,Automobile,29274.0,966473.0,1408.0,17213.0,55.79521752013552,85.0,Car,35.45534953039552,No,88.0,Bi-annually,52.36771007600646,4205983.0,Yes,96.0,2.0,0.8933212301086833
70.0,Company_70,IT,25234.0,478957.0,30413.0,9285.0,62.01572665855928,85.0,Walking,32.64119643199746,Yes,34.0,Annually,78.31437471581144,2792385.0,Yes,93.0,2.0,0.7248896970965123
71.0,Company_71,Textile,28883.0,432313.0,29176.0,14334.0,32.91346176462823,46.0,Bike,66.07735632740442,Yes,82.0,Quarterly,12.455727673683494,2505240.0,Yes,82.0,4.0,0.2568882747576588
72.0,Company_72,Food & Beverages,13394.0,836887.0,15098.0,2121.0,56.15455494980832,90.0,Walking,65.1663788551454,Yes,39.0,Bi-annually,75.44398880776335,4345686.0,Yes,74.0,5.0,0.3416935710249167
73.0,Company_73,Electronics,29094.0,398922.0,31664.0,16613.0,38.01930039109007,61.0,Walking,44.46905667950982,Yes,93.0,Bi-annually,15.43861476805984,522966.0,No,83.0,1.0,0.8393316387171534
74.0,Company_74,Food & Beverages,2279.0,316445.0,39369.0,7694.0,54.6578491832421,96.0,Walking,49.6459463859044,No,44.0,Annually,28.84746867756292,3562275.0,No,84.0,3.0,0.3211267060324825
75.0,Company_75,Food & Beverages,13692.0,977228.0,30596.0,11837.0,34.40069671025927,76.0,Bike,23.58648309974287,Yes,61.0,Annually,65.72385034856828,2572079.0,No,71.0,6.0,0.7523941827726099
76.0,Company_76,Electronics,4109.0,901625.0,27197.0,9808.0,21.101512522574637,83.0,Walking,60.77909668001914,No,43.0,Quarterly,49.79476873016423,1850804.0,Yes,70.0,1.0,0.0304875803396553
,,,,,,,,,,,,,,,,,,,
78.0,Company_78,Textile,34559.0,578500.0,1444.0,10724.0,27.008378640152024,46.0,Walking,10.058283195919005,No,77.0,Annually,16.96723446032326,1134468.0,Yes,75.0,4.0,0.5297966261658468
79.0,Company_79,Textile,17571.0,107188.0,36634.0,10694.0,66.65103266853986,87.0,Walking,55.467918341125184,Yes,99.0,Bi-annually,28.50842068806247,173374.0,Yes,50.0,3.0,0.290770152195615
80.0,Company_80,Electronics,15564.0,433091.0,32561.0,21321.0,50.52190126881639,71.0,Walking,37.49130913120178,No,48.0,Annually,68.754808617583,3254510.0,Yes,79.0,4.0,0.3582657424087855
,,,,,,,,,,,,,,,,,,,
82.0,Company_82,Automobile,16878.0,433590.0,45258.0,11556.0,53.35314661366419,99.0,Car,61.48697546677472,No,62.0,Bi-annually,43.290558600275936,1144099.0,No,81.0,1.0,0.7050098202690906
83.0,Company_83,Pharmaceutical,18533.0,26252.0,3866.0,11523.0,46.08811816961854,50.0,Walking,55.25832181521013,Yes,87.0,Annually,70.69850632729867,4197987.0,Yes,71.0,3.0,0.0234139047380707
84.0,Company_84,Automobile,29131.0,639457.0,27835.0,8366.0,53.92634345309464,52.0,Bike,71.63341405502864,No,50.0,Annually,45.978420748139065,828871.0,Yes,58.0,1.0,0.6180995631270285
85.0,Company_85,Food & Beverages,4776.0,456676.0,46195.0,22420.0,75.57474694114092,61.0,Public Transport,37.72103204368261,No,74.0,Bi-annually,16.619236210725944,2298415.0,No,87.0,2.0,0.7540142955396606
86.0,Company_86,Pharmaceutical,34154.0,113286.0,16955.0,4100.0,23.41644025528431,95.0,Bike,35.10723944657718,Yes,74.0,Annually,17.198469851545266,2213041.0,No,95.0,5.0,0.0105787854291685
87.0,Company_87,IT,42350.0,256954.0,12317.0,13253.0,68.50794393218712,64.0,Public Transport,49.594463145899645,Yes,47.0,Quarterly,24.278179497761435,2205561.0,Yes,62.0,0.0,0.3027996679837964
88.0,Company_88,Pharmaceutical,25897.0,531266.0,44239.0,711.0,42.63534505041215,61.0,Walking,27.133723722124344,Yes,37.0,Quarterly,50.779477602098815,1893683.0,No,73.0,3.0,0.445203346898164
,,,,,,,,,,,,,,,,,,,
90.0,Company_90,Pharmaceutical,41575.0,911797.0,24642.0,19645.0,79.27173045115183,47.0,Car,29.692136765247287,Yes,75.0,Quarterly,42.51178509586621,3637849.0,No,80.0,2.0,0.2892832960694339
91.0,Company_91,Textile,4011.0,183912.0,7448.0,10224.0,21.328479598224813,43.0,Walking,79.12433207262379,No,89.0,Bi-annually,58.66289692472753,1698323.0,Yes,69.0,7.0,0.9896027244754296
92.0,Company_92,Food & Beverages,37733.0,80267.0,6082.0,21195.0,22.83381089146812,51.0,Car,37.758122418062655,No,83.0,Bi-annually,33.11208414424307,2872302.0,Yes,96.0,2.0,0.5331111200289002
,,,,,,,,,,,,,,,,,,,
94.0,Company_94,Food & Beverages,42931.0,967731.0,46184.0,16021.0,32.98747027235953,84.0,Walking,62.27069883121765,No,54.0,Bi-annually,29.94941430140961,1875277.0,No,95.0,4.0,0.196866074595556
95.0,Company_95,Pharmaceutical,9348.0,454415.0,9048.0,20849.0,78.34855803142317,88.0,Car,36.75347125077295,Yes,73.0,Quarterly,70.15105407209757,3704843.0,Yes,50.0,5.0,0.289856956299236
96.0,Company_96,Food & Beverages,3343.0,320753.0,49950.0,13236.0,24.51826006579636,69.0,Bike,44.00610998827784,Yes,57.0,Bi-annually,19.76729307430653,3591600.0,Yes,90.0,3.0,0.5193721212796617
,,,,,,,,,,,,,,,,,,,
98.0,Company_98,Electronics,25968.0,201766.0,27768.0,16876.0,25.76043830607002,51.0,Walking,16.763365761590766,No,46.0,Quarterly,38.4983711674855,873292.0,No,61.0,1.0,0.8000996041038667
99.0,Company_99,Electronics,3892.0,385380.0,43319.0,11313.0,62.83652820070267,44.0,Walking,38.75145376782433,Yes,61.0,Annually,36.87738850345231,1752847.0,No,85.0,1.0,0.3797440872013037
100.0,Company_100,Food & Beverages,39232.0,942026.0,14127.0,5268.0,62.97762835879721,89.0,Public Transport,55.84984834825711,Yes,58.0,Quarterly,29.168858936082103,3939143.0,Yes,72.0,1.0,0.1045219547415557
101.0,Company_101,IT,37496.0,784710.0,3622.0,10876.0,54.44833950639666,48.0,Car,68.28064327033864,Yes,60.0,Bi-annually,78.25943495500142,4049172.0,Yes,88.0,1.0,0.5491673492253978
,,,,,,,,,,,,,,,,,,,
103.0,Company_103,Automobile,35142.0,816174.0,11367.0,10807.0,46.43558684249732,74.0,Public Transport,23.118836675158065,Yes,65.0,Bi-annually,14.592160679907286,4656607.0,Yes,56.0,1.0,0.6171180075298406
104.0,Company_104,Pharmaceutical,39311.0,557351.0,30679.0,21303.0,75.08923575169216,74.0,Car,70.2109898366067,Yes,67.0,Bi-annually,39.2558902228908,2000521.0,Yes,59.0,2.0,0.4389666902525578
105.0,Company_105,IT,30790.0,424613.0,35582.0,3199.0,38.36434801855845,73.0,Public Transport,45.94619137938711,Yes,88.0,Annually,22.245914019374773,746533.0,Yes,64.0,3.0,0.4526828274603838
106.0,Company_106,Electronics,43180.0,750881.0,41621.0,12796.0,65.28955237369814,45.0,Car,11.168153078462815,Yes,87.0,Quarterly,52.2673773971165,1076225.0,No,64.0,3.0,0.4902703041952363
,,,,,,,,,,,,,,,,,,,
,,Healtchare,1000000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
110.0,Company_110,Electronics,31191.0,884680.0,34336.0,17292.0,62.3201253532713,84.0,Public Transport,50.35499519778555,Yes,43.0,Annually,59.60247103038312,3469440.0,Yes,69.0,4.0,0.9599159494280646
111.0,Company_111,Electronics,32341.0,916163.0,36608.0,897.0,61.08310208522175,49.0,Public Transport,36.84629326369175,No,91.0,Quarterly,10.887323087470625,2592319.0,No,74.0,3.0,0.1877537327639503
112.0,Company_112,Pharmaceutical,19157.0,917461.0,10933.0,10474.0,61.47056886513838,41.0,Walking,56.690752760817965,No,93.0,Annually,62.4415979229784,1634341.0,Yes,76.0,3.0,0.3860587693294161
113.0,Company_113,Food & Beverages,31902.0,961877.0,35222.0,4902.0,65.45114254107031,81.0,Walking,76.12442657860237,No,39.0,Annually,48.73838679774557,3668886.0,Yes,99.0,3.0,0.8849741165122057
114.0,Company_114,IT,30512.0,359956.0,37403.0,8002.0,57.12296673197652,41.0,Car,60.49898978451683,Yes,77.0,Quarterly,40.464966280856736,626472.0,Yes,65.0,5.0,0.9298360348439484
115.0,Company_115,Pharmaceutical,24214.0,98577.0,41654.0,7590.0,57.27937738508259,76.0,Car,10.450650695897616,Yes,98.0,Annually,20.642018980844465,531219.0,No,83.0,4.0,0.4606135858647668
116.0,Company_116,Automobile,14651.0,133713.0,30158.0,12858.0,44.93692899652632,91.0,Walking,32.330983188675724,Yes,32.0,Quarterly,25.95902247987245,3567686.0,Yes,66.0,2.0,0.8004789585686932
117.0,Company_117,Food & Beverages,31702.0,370932.0,38079.0,2383.0,41.346213526762014,54.0,Car,20.707474962592883,Yes,49.0,Quarterly,72.34154866494394,3042873.0,Yes,59.0,1.0,0.7157930751941618
118.0,Company_118,Pharmaceutical,21271.0,922924.0,1960.0,5007.0,50.2417007531927,66.0,Car,29.940971115431843,Yes,31.0,Quarterly,19.588634286668142,618903.0,No,98.0,4.0,0.4617895117205071
119.0,Company_119,Food & Beverages,24425.0,804309.0,32818.0,831.0,53.17235650936014,96.0,Public Transport,34.49820730806199,No,59.0,Quarterly,41.04600525172685,988036.0,No,98.0,3.0,0.7237869108911363
,,,,,,,,,,,,,,,,,,,
121.0,Company_121,Textile,36824.0,588096.0,24158.0,8536.0,28.013601419540635,98.0,Public Transport,52.62791631800532,No,74.0,Annually,50.43298625655856,1148224.0,Yes,60.0,1.0,0.813050624107984
122.0,Company_122,Textile,35459.0,824828.0,9816.0,1848.0,38.32605813764689,73.0,Public Transport,63.607960995182665,Yes,73.0,Quarterly,71.02979460771189,947321.0,No,63.0,6.0,0.8977970427794719
123.0,Company_123,Electronics,32121.0,789656.0,26998.0,1241.0,67.95290303217368,58.0,Bike,73.89575433886436,Yes,49.0,Annually,31.278755955285032,2215604.0,No,91.0,4.0,0.6340556829766075
124.0,Company_124,Textile,36276.0,536863.0,38864.0,4901.0,72.60736975853553,82.0,Car,77.81037246368662,Yes,77.0,Annually,49.42683645278774,285024.0,No,62.0,2.0,0.8985004180709215
125.0,Company_125,Textile,16636.0,386234.0,2672.0,18906.0,78.78425586017102,79.0,Car,15.609243495630906,Yes,76.0,Annually,76.7556714991661,1893499.0,Yes,77.0,1.0,0.1295244949295713
126.0,Company_126,Electronics,45247.0,368489.0,24262.0,8955.0,62.81936944383442,60.0,Public Transport,11.50669287095412,No,80.0,Annually,57.9364500232232,4735980.0,No,70.0,3.0,0.5351034341408951
127.0,Company_127,Textile,46664.0,778617.0,44664.0,16749.0,62.87142182163335,59.0,Walking,27.14167971985427,Yes,83.0,Quarterly,11.421641511111073,2354986.0,No,55.0,2.0,0.0034988314076991
128.0,Company_128,Pharmaceutical,16570.0,787017.0,28135.0,13828.0,39.9767562559305,79.0,Bike,11.75637727823696,No,97.0,Quarterly,41.69116935700352,2195815.0,No,85.0,1.0,0.2416358901043831
129.0,Company_129,Food & Beverages,2790.0,809593.0,23989.0,16998.0,50.25203921734613,55.0,Walking,53.16746954264958,Yes,76.0,Bi-annually,75.53988436190787,4895885.0,No,59.0,6.0,0.7375630244655452
130.0,Company_130,Pharmaceutical,13546.0,70739.0,45695.0,17342.0,33.96820477000632,42.0,Bike,44.34806212876882,No,44.0,Annually,34.31867425850518,4002072.0,No,59.0,6.0,0.1626431943323913
131.0,Company_131,Textile,38169.0,569741.0,34770.0,20121.0,74.47966252942165,45.0,Public Transport,20.566468191703198,Yes,58.0,Annually,28.66952339947129,2117646.0,Yes,75.0,3.0,0.9802411817720212
132.0,Company_132,IT,11255.0,891372.0,28934.0,5141.0,62.70252083324401,92.0,Car,57.23051841556186,Yes,34.0,Quarterly,21.1445004507127,1621442.0,No,61.0,1.0,0.6674073046234464
133.0,Company_133,Pharmaceutical,1635.0,340984.0,27737.0,7366.0,44.00124419000424,90.0,Walking,77.8946968651398,No,74.0,Bi-annually,61.234511567884326,124902.0,No,63.0,4.0,0.6342963952285956
134.0,Company_134,Electronics,40386.0,212738.0,7602.0,19084.0,62.53121980652831,76.0,Public Transport,15.36976561557204,Yes,31.0,Quarterly,56.745080328909744,3459502.0,No,88.0,3.0,0.533979044719742
135.0,Company_135,Pharmaceutical,19898.0,723769.0,14961.0,21289.0,79.53464744246205,63.0,Bike,18.36865074751303,No,93.0,Annually,51.19302939835999,280020.0,No,57.0,3.0,0.7439216611267082
136.0,Company_136,Automobile,4202.0,426071.0,35019.0,7193.0,55.44843041554984,80.0,Walking,76.27553462554391,Yes,82.0,Annually,37.05309815591436,2662752.0,No,87.0,3.0,0.3448218548486057
137.0,Company_137,Pharmaceutical,22400.0,45831.0,19100.0,16867.0,56.00383281839669,80.0,Bike,61.42610144512274,No,51.0,Bi-annually,52.68905127334804,2479945.0,No,89.0,3.0,0.7058629020484948
138.0,Company_138,Electronics,11115.0,553251.0,23300.0,2109.0,57.608841707312905,52.0,Bike,13.756829764921497,No,52.0,Quarterly,28.29199653768617,3568166.0,No,74.0,3.0,0.4207125091688778
139.0,Company_139,Pharmaceutical,17088.0,979613.0,41063.0,13406.0,65.31248168051425,40.0,Car,52.67371833056825,Yes,72.0,Bi-annually,13.27429123853762,3446124.0,Yes,91.0,2.0,0.985337077860396
140.0,Company_140,Pharmaceutical,20987.0,530523.0,39492.0,20945.0,70.65686273131163,51.0,Car,19.39643172618983,Yes,90.0,Bi-annually,37.27817058427748,2121069.0,No,84.0,3.0,0.3203793290084012
141.0,Company_141,IT,43590.0,78883.0,18606.0,13435.0,49.138246266074006,99.0,Bike,68.83216724421298,Yes,79.0,Annually,49.52603204826362,4411897.0,No,70.0,3.0,0.660881094068593
142.0,Company_142,Pharmaceutical,44243.0,443647.0,43688.0,20987.0,75.42009406287374,66.0,Bike,49.8763949716206,Yes,58.0,Annually,69.82961874638579,4912846.0,No,50.0,4.0,0.8068415376229573
